#,Company,Symbol,Weight,Price,Change
1,Boeing Company,BA,9.631079,356.12,-13.22
2,UnitedHealth Group Incorporated,UNH,7.211444,272.85,-3.7
3,Goldman Sachs Group Inc.,GS,5.805923,205.75,-16.9
4,Apple Inc.,AAPL,5.331853,192.8,-11.67
5,3M Company,MMM,5.243976,196.9,-4.2
6,Home Depot Inc.,HD,4.84996,179.1,-6.89
7,McDonald's Corporation,MCD,4.848657,184.35,-1.59
8,Johnson & Johnson,JNJ,3.789952,145.95,0.61
9,Visa Inc. Class A,V,3.753184,139.5,-4.43
10,Travelers Companies Inc.,TRV,3.416798,127.0,-4.03
11,United Technologies Corporation,UTX,3.408454,128.16,-2.55
12,Caterpillar Inc.,CAT,3.309363,124.03,-2.88
13,International Business Machines Corporation,IBM,3.221485,120.6,-2.94
14,Chevron Corporation,CVX,3.116398,117.3,-2.21
15,Walt Disney Company,DIS,3.077022,116.5,-1.5
16,JPMorgan Chase & Co.,JPM,2.902049,108.75,-2.54
17,Microsoft Corporation,MSFT,2.857197,106.48,-3.09
18,American Express Company,AXP,2.823559,106.78,-1.5
19,Walmart Inc.,WMT,2.752631,103.75,-1.81
20,Procter & Gamble Company,PG,2.409725,92.7,0.29
21,Walgreens Boots Alliance Inc,WBA,2.148439,81.85,-0.54
22,Exxon Mobil Corporation,XOM,2.108803,79.83,-1.04
23,NIKE Inc. Class B,NKE,1.991198,75.1,-1.26
24,Merck & Co. Inc.,MRK,1.952084,74.96,0.1
25,DowDuPont Inc.,DWDP,1.530166,57.82,-0.86
26,Verizon Communications Inc.,VZ,1.52443,58.65,0.19
27,Coca-Cola Company,KO,1.295478,50.0,0.32
28,Intel Corporation,INTC,1.254538,46.56,-1.55
29,Cisco Systems Inc.,CSCO,1.228462,45.75,-1.36
30,Pfizer Inc.,PFE,1.154665,44.0,-0.28
